,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Castro,BR,-24.7911,-50.0119,64.85,95,100,7.94,heavy intensity rain
80,Gushikawa,JP,26.3544,127.8686,81.63,65,1,12.66,clear sky
81,Isfana,KG,39.8386,69.5306,45.16,49,74,2.01,broken clouds
82,Nizhniy Odes,RU,63.6445,54.856,32.31,74,43,1.92,scattered clouds
83,Kavieng,PG,-2.5744,150.7967,81.03,75,20,5.53,few clouds
84,Nikolskoye,RU,59.7035,30.7861,52.88,83,2,7.4,clear sky
85,Pirovskoye,RU,57.6267,92.2658,28.99,88,45,3.83,scattered clouds
86,Avarua,CK,-21.2078,-159.775,73.45,78,40,9.22,scattered clouds
87,Lagoa,PT,39.05,-27.9833,70.95,90,98,11.21,overcast clouds
88,Holbeach,GB,52.804,0.0144,61.0,67,31,10.0,scattered clouds
89,Praia,CV,14.9215,-23.5087,90.14,55,20,16.11,few clouds
90,Acevedo,CO,1.8361,-75.855,80.1,58,19,4.07,few clouds
91,Tulum,MX,20.2167,-87.4667,86.99,79,40,6.87,scattered clouds
92,Airai,TL,-8.9266,125.4092,59.58,83,54,1.16,broken clouds
93,Broome,US,42.2506,-75.833,64.98,76,90,4.61,moderate rain
94,Pechenga,RU,69.5259,31.1703,47.26,81,47,19.55,scattered clouds
95,Chake Chake,TZ,-5.2459,39.7666,74.8,77,97,8.46,overcast clouds
96,Udala,ES,43.0778,-2.5125,58.48,90,100,1.86,overcast clouds
97,Yulara,AU,-25.2406,130.9889,58.84,33,0,6.91,clear sky
98,College,US,64.8569,-147.8028,34.59,95,90,5.75,mist
99,Brits,ZA,-25.6347,27.7802,76.32,12,0,6.13,clear sky
100,Ruteng,ID,-8.6136,120.4721,60.69,91,44,2.21,scattered clouds
101,Dingle,PH,10.9995,122.6711,75.74,95,100,5.64,heavy intensity rain
102,Makakilo City,US,21.3469,-158.0858,74.28,79,1,4.61,clear sky
103,Uruzgan,AF,32.8333,66.0,62.6,27,0,2.84,clear sky
104,Kyra,RU,49.5776,111.9753,32.5,90,90,4.7,overcast clouds
105,Port Hedland,AU,-20.3167,118.5667,66.25,72,0,10.36,clear sky
106,Celestun,MX,20.8667,-90.4,87.93,54,63,3.69,broken clouds
107,Les Cayes,HT,18.2,-73.75,81.14,76,100,13.49,overcast clouds
108,Vuktyl,RU,63.8567,57.3094,31.5,83,49,0.78,scattered clouds
109,Znamenskoye,RU,57.1281,73.8282,29.3,97,95,4.63,overcast clouds
110,Dikson,RU,73.5069,80.5464,34.63,98,100,23.15,light rain
111,Georgetown,MY,5.4112,100.3354,82.89,86,20,1.01,few clouds
112,Bredasdorp,ZA,-34.5322,20.0403,56.52,67,50,9.22,scattered clouds
113,Salalah,OM,17.0151,54.0924,82.49,83,75,6.91,broken clouds
114,Yellowknife,CA,62.456,-114.3525,49.41,57,40,9.22,scattered clouds
115,Lukovetskiy,RU,64.2956,41.9211,48.18,90,100,5.61,light rain
116,Kaduy,RU,59.2,37.15,44.64,90,79,5.03,broken clouds
117,Barrow,US,71.2906,-156.7887,28.42,86,90,11.5,light snow
118,Fairbanks,US,64.8378,-147.7164,34.61,94,90,4.61,light snow
119,Kudahuvadhoo,MV,2.6708,72.8944,83.16,76,6,15.95,clear sky
120,Hobyo,SO,5.3505,48.5268,79.29,84,44,20.65,scattered clouds
121,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,88,75,18.41,broken clouds
122,Butaritari,KI,3.0707,172.7902,82.62,65,96,15.08,overcast clouds
123,Plaridel,PH,14.8872,120.8572,82.38,90,98,6.93,overcast clouds
124,Meulaboh,ID,4.1363,96.1285,76.15,83,3,4.0,clear sky
125,Najran,SA,17.4924,44.1277,88.45,29,82,5.03,broken clouds
126,Esperance,AU,-33.8667,121.9,44.44,67,10,7.67,clear sky
127,Kollam,IN,8.8833,76.6,80.47,85,100,3.18,overcast clouds
128,Manchester,GB,53.4809,-2.2374,58.98,76,40,1.99,scattered clouds
129,Zheleznodorozhnyy,RU,55.7503,38.0042,44.37,65,100,4.29,overcast clouds
130,Estevan,CA,49.1334,-102.9842,70.14,27,1,11.5,clear sky
131,Warburton,PK,31.55,73.8333,88.0,59,5,7.74,clear sky
132,Biak,ID,-0.9131,122.8766,75.56,82,80,5.99,broken clouds
133,Saint-Georges,GD,12.0564,-61.7485,89.28,66,40,23.02,scattered clouds
134,Markha,RU,62.1053,129.7269,26.56,86,0,6.71,clear sky
135,Lujiang,CN,31.2581,117.2817,82.45,73,5,4.54,clear sky
136,Carnarvon,AU,-24.8667,113.6333,64.47,77,1,16.11,clear sky
137,Isangel,VU,-19.55,169.2667,74.32,90,22,5.5,few clouds
138,Zhaoyuan,CN,37.3592,120.3964,77.79,97,100,5.93,heavy intensity rain
139,Kambove,CD,-10.8764,26.5969,67.28,78,74,3.8,light rain
140,Covilha,PT,40.286,-7.504,66.34,45,7,9.95,clear sky
141,Kamenz,DE,51.268,14.0937,65.44,54,100,12.48,overcast clouds
142,San Patricio,US,28.017,-97.5169,84.92,62,64,7.25,broken clouds
143,Nyamuswa,TZ,-1.9,34.0167,70.66,68,100,4.32,overcast clouds
144,Kapoeta,SS,4.7717,33.5903,79.61,62,63,7.7,broken clouds
145,Bridlington,GB,54.0831,-0.1919,58.89,70,14,19.26,few clouds
146,Pumiao,CN,22.75,108.4833,79.2,84,2,4.43,light rain
147,Camacha,PT,33.0833,-16.3333,74.16,78,40,16.11,scattered clouds
148,Sechura,PE,-5.5569,-80.8222,76.08,56,27,10.8,scattered clouds
149,Bethanien,NA,-26.502,17.1583,70.88,17,0,10.09,clear sky
150,Maputo,MZ,-25.9653,32.5892,63.23,88,90,8.01,overcast clouds
151,Northam,GB,51.0333,-4.2167,60.42,79,39,18.16,scattered clouds
152,Elban,RU,50.1018,136.5094,38.71,90,70,4.32,broken clouds
153,Olinda,BR,-8.0089,-34.8553,83.93,61,40,6.91,scattered clouds
154,Ahuimanu,US,21.4447,-157.8378,75.45,82,75,3.44,broken clouds
155,Port Alfred,ZA,-33.5906,26.891,58.06,68,36,11.74,scattered clouds
156,Flin Flon,CA,54.7682,-101.865,57.04,58,75,3.44,smoke
157,Sur,OM,22.5667,59.5289,83.44,77,100,20.02,overcast clouds
158,Karad,IN,17.2833,74.2,76.48,81,81,3.06,broken clouds
159,Khatanga,RU,71.9667,102.5,16.68,95,89,9.46,overcast clouds
160,Saint-Pierre,RE,-21.3393,55.4781,74.88,73,75,4.61,broken clouds
161,Yar-Sale,RU,66.8333,70.8333,30.38,77,89,6.33,overcast clouds
162,Talaya,RU,61.3833,152.75,24.49,95,100,6.91,overcast clouds
163,Nehe,CN,48.4833,124.8333,36.73,79,1,6.42,clear sky
164,Puerto Ayora,EC,-0.7393,-90.3518,72.55,77,53,11.34,broken clouds
165,Lebu,CL,-37.6167,-73.65,53.15,67,26,22.06,scattered clouds
166,Bac Lieu,VN,9.285,105.7244,78.71,86,100,5.91,overcast clouds
167,Kaitangata,NZ,-46.2817,169.8464,49.93,82,100,12.82,moderate rain
168,Katsuura,JP,35.1333,140.3,70.11,80,2,7.45,clear sky
169,Naro-Fominsk,RU,55.3875,36.7331,44.22,72,100,4.34,light rain
170,Dalhousie,IN,32.5333,75.9833,56.16,83,2,6.04,clear sky
171,Iquique,CL,-20.2208,-70.1431,62.64,65,2,7.02,clear sky
172,Neya,RU,58.2972,43.8681,45.01,87,100,2.08,overcast clouds
173,Dicabisagan,PH,17.0818,122.4157,78.17,90,100,5.35,overcast clouds
174,Orlik,RU,52.5178,99.825,19.33,83,55,2.44,broken clouds
175,Shahpur,IN,16.7,76.8333,82.35,68,92,3.36,overcast clouds
176,Prince Rupert,CA,54.3161,-130.3201,47.89,75,90,10.36,light rain
177,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,13.8,clear sky
178,Sorkjosen,NO,69.8,20.9333,53.6,54,40,35.68,scattered clouds
179,Mpongwe,ZM,-13.5091,28.155,71.04,68,97,5.88,light rain
180,Ancud,CL,-41.8697,-73.8203,51.33,67,56,11.65,broken clouds
181,Ekimchan,RU,53.0667,132.9667,27.55,88,9,1.5,clear sky
182,Sao Felix Do Xingu,BR,-6.6447,-51.995,94.55,37,97,5.66,overcast clouds
183,Lodwar,KE,3.1191,35.5973,92.5,28,6,5.64,clear sky
184,Zalesovo,RU,53.9939,84.7431,34.18,96,100,7.45,light rain
185,Chokurdakh,RU,70.6333,147.9167,21.85,96,100,9.35,overcast clouds
186,Beringovskiy,RU,63.05,179.3167,37.96,99,100,1.1,overcast clouds
187,Nuqui,CO,5.7125,-77.2708,82.74,77,57,6.73,light rain
188,Hirado,JP,33.3597,129.5531,72.36,69,1,8.41,clear sky
189,Condega,NI,13.365,-86.3985,76.39,55,15,6.13,few clouds
190,Lorengau,PG,-2.0226,147.2712,79.18,80,5,3.51,clear sky
191,Faya,SA,18.3851,42.4509,68.52,56,99,4.45,overcast clouds
192,Shimoda,JP,34.6667,138.95,68.11,83,28,1.19,scattered clouds
193,Kencong,ID,-8.2833,113.3667,76.3,81,94,1.63,overcast clouds
194,Inuvik,CA,68.3499,-133.7218,34.66,100,90,9.22,light intensity drizzle
195,Starosubkhangulovo,RU,53.1031,57.4423,41.29,63,98,4.85,overcast clouds
196,Nemuro,JP,43.3236,145.575,61.2,81,25,30.96,scattered clouds
197,Mountain Home,US,43.133,-115.6912,66.11,38,1,14.97,clear sky
198,Santa Cruz,BO,-17.8,-63.1667,90.86,58,40,14.97,smoke
199,Gasa,PS,31.5,34.4667,78.78,66,34,10.89,scattered clouds
200,Sisimiut,GL,66.9395,-53.6735,37.99,66,94,4.83,overcast clouds
201,Omboue,GA,-1.5746,9.2618,77.32,83,100,10.76,overcast clouds
202,Richards Bay,ZA,-28.783,32.0377,60.6,82,100,5.26,light rain
203,Teguldet,RU,57.3064,88.1667,32.63,94,100,3.8,overcast clouds
204,Puerto Leguizamo,CO,-0.1934,-74.7819,93.97,43,28,5.08,scattered clouds
205,Pilar,BR,-9.5972,-35.9567,85.93,53,15,12.39,few clouds
206,Selma,US,36.5708,-119.6121,78.6,39,1,5.75,haze
207,Rameshki,RU,57.3439,36.0453,41.47,81,83,3.83,broken clouds
208,Pisco,PE,-13.7,-76.2167,65.01,77,90,6.91,mist
209,Raudeberg,NO,61.9875,5.1352,60.58,58,100,8.99,overcast clouds
210,Sao Filipe,CV,14.8961,-24.4956,79.95,77,66,6.71,broken clouds
211,Itaberaba,BR,-12.5275,-40.3069,93.06,30,42,9.89,scattered clouds
212,Samarai,PG,-10.6167,150.6667,79.68,83,97,4.54,overcast clouds
213,Kavaratti,IN,10.5669,72.642,81.54,80,100,10.04,overcast clouds
214,Rokytnice Nad Jizerou,CZ,50.7256,15.4336,59.61,86,54,3.8,broken clouds
215,Hryshkivtsi,UA,49.9353,28.6038,49.82,52,41,8.75,scattered clouds
216,Santo Tomas,PH,14.1079,121.1414,80.85,94,89,4.09,overcast clouds
217,Abonnema,NG,4.7084,6.7931,80.15,80,92,7.99,light rain
218,Batagay,RU,67.6333,134.6333,23.67,79,69,1.03,broken clouds
219,Bandarbeyla,SO,9.4942,50.8122,79.07,83,53,21.63,broken clouds
220,Upington,ZA,-28.4478,21.2561,71.98,16,0,3.44,clear sky
221,Sal Rei,CV,16.1833,-22.9167,88.0,66,20,14.97,few clouds
222,Vesyegonsk,RU,58.664,37.2604,42.33,88,15,4.65,few clouds
223,Paamiut,GL,61.994,-49.6678,40.98,64,4,9.08,clear sky
224,Haines Junction,CA,60.7522,-137.5108,31.95,93,100,2.3,light snow
225,Pachino,IT,36.7186,15.0907,73.44,67,5,7.23,clear sky
226,Kashi,CN,39.4547,75.9797,60.01,33,90,11.18,dust
227,Posse,BR,-14.0931,-46.3694,98.76,16,32,4.74,scattered clouds
228,Bilibino,RU,68.0546,166.4372,16.34,97,96,3.27,overcast clouds
229,Cienaga De Oro,CO,8.8744,-75.6203,87.35,69,69,6.71,broken clouds
230,Morondava,MG,-20.2833,44.2833,77.74,79,2,14.56,clear sky
231,Sampit,ID,-2.5333,112.95,73.81,97,98,1.3,overcast clouds
232,Ilulissat,GL,69.2167,-51.1,30.22,59,83,5.75,broken clouds
233,Vestmanna,FO,62.1564,-7.1664,47.32,93,75,32.21,broken clouds
234,Fairlie,GB,55.756,-4.8556,55.11,85,54,7.0,broken clouds
235,Port Lincoln,AU,-34.7333,135.8667,53.38,60,6,24.16,clear sky
236,Saskylakh,RU,71.9167,114.0833,13.77,94,59,8.37,broken clouds
237,Oranjemund,NA,-28.55,16.4333,56.17,68,0,27.29,clear sky
238,East London,ZA,-33.0153,27.9116,59.94,67,20,11.5,light rain
239,Komsomolskiy,UZ,40.4272,71.7189,58.42,77,75,2.3,moderate rain
240,Jiujiang,CN,29.7333,115.9833,81.68,60,0,4.83,clear sky
241,Kapaa,US,22.0752,-159.319,73.72,85,90,4.0,light rain
242,Caravelas,BR,-17.7125,-39.2481,83.73,62,3,13.71,clear sky
243,Tagburos,PH,9.8286,118.7319,78.53,86,95,4.99,overcast clouds
244,Temryuk,RU,45.2722,37.3811,55.62,68,100,15.41,overcast clouds
245,Zambezi,ZM,-13.5432,23.1047,73.76,60,94,7.09,light rain
246,Dakar,SN,14.6937,-17.4441,88.68,70,0,2.3,clear sky
247,Goya,AR,-29.14,-59.2626,68.97,24,93,11.88,overcast clouds
248,Gunnedah,AU,-30.9833,150.25,56.82,70,27,2.64,scattered clouds
249,Lata,PT,40.1629,-8.3327,66.34,56,2,11.39,clear sky
250,Half Moon Bay,US,37.4636,-122.4286,82.51,65,20,3.44,few clouds
251,Ostrovnoy,RU,68.0531,39.5131,46.02,86,48,18.97,scattered clouds
252,Joshimath,IN,30.5667,79.5667,65.19,88,75,0.89,broken clouds
253,Ergani,TR,38.2653,39.7621,74.12,53,1,8.59,clear sky
254,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,37.15,73,100,2.19,overcast clouds
255,Rocha,UY,-34.4833,-54.3333,59.07,52,79,15.14,broken clouds
256,Corpus Christi,US,27.8006,-97.3964,86.4,81,75,5.01,broken clouds
257,Port Elizabeth,ZA,-33.918,25.5701,58.1,67,20,13.8,few clouds
258,Mecca,SA,21.4267,39.8261,89.01,39,100,7.87,overcast clouds
259,Cairns,AU,-16.9167,145.7667,73.06,96,94,0.0,overcast clouds
260,Karratha,AU,-20.7377,116.8463,71.53,62,0,12.41,clear sky
261,Benemerito De Las Americas,MX,16.5167,-90.6439,89.56,50,64,2.28,broken clouds
