City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Arraial Do Cabo,BR,2021-09-22 22:28:48,-22.9661,-42.0278,67.96,68,40,11.5
68,Winnemucca,US,2021-09-22 22:24:23,40.973,-117.7357,84.25,14,20,5.75
69,Zeya,RU,2021-09-22 22:28:48,53.75,127.2667,40.91,69,12,3.27
70,Dakar,SN,2021-09-22 22:25:39,14.6937,-17.4441,82.53,83,75,2.3
71,Faya,SA,2021-09-22 22:28:49,18.3851,42.4509,64.92,25,34,2.3
72,Lebu,CL,2021-09-22 22:28:49,-37.6167,-73.65,52.65,69,66,5.12
73,Soe,ID,2021-09-22 22:28:50,-9.8607,124.284,62.94,84,66,4.59
74,Maralal,KE,2021-09-22 22:28:50,1.0968,36.698,59.88,69,42,8.63
75,Dunedin,NZ,2021-09-22 22:27:01,-45.8742,170.5036,57.79,57,0,4.0
76,Barrow,US,2021-09-22 22:28:51,71.2906,-156.7887,32.02,64,90,16.11
77,Tautira,PF,2021-09-22 22:28:51,-17.7333,-149.15,78.82,71,67,4.74
78,Grimshaw,CA,2021-09-22 22:28:51,56.1834,-117.6027,63.01,33,75,23.02
79,Avarua,CK,2021-09-22 22:28:52,-21.2078,-159.775,73.45,73,75,9.22
80,Sumbe,AO,2021-09-22 22:28:52,-11.2061,13.8437,70.61,89,28,4.68
81,Henties Bay,NA,2021-09-22 22:28:52,-22.116,14.2845,54.86,83,24,7.52
82,Kamsack,CA,2021-09-22 22:28:53,51.5667,-101.9009,77.45,18,7,13.13
83,Iqaluit,CA,2021-09-22 22:28:53,63.7506,-68.5145,33.53,80,90,6.91
84,Cape Town,ZA,2021-09-22 22:26:30,-33.9258,18.4232,68.11,82,0,5.75
85,Bagdarin,RU,2021-09-22 22:28:53,54.4333,113.6,35.65,83,100,2.93
86,Talnakh,RU,2021-09-22 22:28:54,69.4865,88.3972,33.39,78,99,8.72
87,Quelimane,MZ,2021-09-22 22:26:09,-17.8786,36.8883,69.75,88,20,4.61
88,Lavrentiya,RU,2021-09-22 22:28:54,65.5833,-171.0,32.95,58,22,6.15
89,Colac,AU,2021-09-22 22:28:54,-38.3333,143.5833,51.01,89,34,11.32
90,Pangnirtung,CA,2021-09-22 22:28:55,66.1451,-65.7125,33.8,64,75,9.22
91,Adrar,MR,2021-09-22 22:28:52,20.5022,-10.0711,92.82,15,0,15.75
92,Tiarei,PF,2021-09-22 22:28:55,-17.5333,-149.3333,78.82,73,44,8.61
93,Tsabong,BW,2021-09-22 22:28:56,-26.0217,22.401,65.73,43,0,17.0
94,Pula,HR,2021-09-22 22:26:42,44.8683,13.8481,61.66,55,0,8.05
95,Santa Maria Del Oro,MX,2021-09-22 22:28:57,25.9333,-105.3667,71.92,53,95,11.59
96,Svetlaya,RU,2021-09-22 22:28:57,46.5389,138.3297,52.86,89,100,19.69
97,La Palma,US,2021-09-22 22:28:57,33.8464,-118.0467,104.94,35,75,8.99
98,Torbay,CA,2021-09-22 22:28:58,47.6666,-52.7314,65.26,72,75,19.57
99,Verkhoyansk,RU,2021-09-22 22:28:58,67.5447,133.385,35.33,79,100,3.6
100,Margate,GB,2021-09-22 22:28:58,51.3813,1.3862,58.91,79,30,1.99
101,Kodiak,US,2021-09-22 22:28:58,57.79,-152.4072,45.81,64,100,14.65
102,Solnechnyy,RU,2021-09-22 22:28:59,50.7214,136.6319,41.34,73,4,5.93
103,Providencia,MX,2021-09-22 22:28:59,28.7167,-111.5833,96.66,48,100,6.64
104,Erzin,TR,2021-09-22 22:29:00,36.9559,36.2,68.72,85,9,2.91
105,Wick,GB,2021-09-22 22:29:00,58.4333,-3.0833,53.65,82,20,16.11
106,Codrington,AU,2021-09-22 22:29:00,-38.2667,141.9667,52.88,85,2,15.41
107,College,US,2021-09-22 22:29:01,64.8569,-147.8028,38.86,68,75,4.61
108,Paamiut,GL,2021-09-22 22:29:01,61.994,-49.6678,32.95,95,100,11.3
109,New Norfolk,AU,2021-09-22 22:29:01,-42.7826,147.0587,60.93,62,95,7.0
110,Kieta,PG,2021-09-22 22:29:02,-6.2167,155.6333,81.86,74,72,3.65
111,Ismailia,EG,2021-09-22 22:29:03,30.6043,32.2723,73.58,68,0,7.56
112,Leningradskiy,RU,2021-09-22 22:29:03,69.3833,178.4167,24.1,70,95,5.57
113,Kavieng,PG,2021-09-22 22:29:04,-2.5744,150.7967,81.59,77,100,11.88
114,Pittsburg,US,2021-09-22 22:29:04,38.028,-121.8847,98.06,22,1,5.01
115,Strasice,CZ,2021-09-22 22:29:04,49.7355,13.7576,51.6,91,15,4.76
