City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
242,Caravelas,BR,83.73,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
243,Tagburos,PH,78.53,overcast clouds,9.8286,118.7319,Jamp Pension House
246,Dakar,SN,88.68,clear sky,14.6937,-17.4441,Redface Studios Meublés
250,Half Moon Bay,US,82.51,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
256,Corpus Christi,US,86.4,broken clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
258,Mecca,SA,89.01,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
261,Benemerito De Las Americas,MX,89.56,broken clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
269,Hithadhoo,MV,83.79,broken clouds,-0.6,73.0833,Scoop Guest House
271,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
275,West Bay,KY,89.01,few clouds,19.3667,-81.4167,Calypso Cove
281,Buala,SB,78.87,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
283,Pakokku,MM,80.33,few clouds,21.3333,95.1,Royal Palace Motel
284,Vila Franca Do Campo,PT,77.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
286,Chandbali,IN,79.57,scattered clouds,20.7833,86.7667,KABITA HOMES
287,Aklera,IN,80.62,broken clouds,24.4167,76.5667,hotel sangam palace
290,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
294,Honghu,CN,81.82,clear sky,29.8206,113.4621,文泉花园酒店
295,Jalalabad,AF,84.27,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
301,Tuburan,PH,80.64,moderate rain,6.6439,122.2736,GT Site
302,Tianpeng,CN,79.27,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
308,Townsville,AU,76.08,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
310,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
317,Babai,IN,76.95,overcast clouds,22.7,77.9333,G loading service babai
320,Ponta Do Sol,PT,78.71,broken clouds,32.6667,-17.1,Hotel do Campo
321,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
323,Kharagpur,IN,78.73,broken clouds,22.3333,87.3333,Guin Bros Lodge
324,Mucurapo,TT,88.12,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
325,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
328,Aracati,BR,89.31,few clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
330,Corralillo,CU,84.85,scattered clouds,22.9819,-80.5856,Hostal De Pedri
332,Nuevo Progreso,MX,86.59,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
333,Majene,ID,77.36,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
337,Namatanai,PG,79.54,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
342,Saint George,US,84.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
344,Faanui,PF,78.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
349,Itaituba,BR,87.96,scattered clouds,-4.2761,-55.9836,Hotel Campos
364,Kimbe,PG,75.67,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
370,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
372,Kalawit,PH,77.47,heavy intensity rain,8.0667,122.5167,Ompoy Pension House
377,Tabou,CI,79.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
378,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
379,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
384,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
386,Tual,ID,80.94,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
390,San Quintin,MX,80.29,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
392,Kirakira,SB,79.05,overcast clouds,-10.4544,161.9205,SanBiz Lodge
401,Angoche,MZ,78.55,clear sky,-16.2325,39.9086,Guest House HESADA
402,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
407,Bansi,IN,77.63,broken clouds,27.1833,82.9333,सबलू गाडी धुलाई सेंटर
409,Tshela,CD,81.1,broken clouds,-4.9833,12.9333,Hotel Mirador
410,Sabang,ID,82.04,scattered clouds,5.8933,95.3214,Hotel Citra
417,Phangnga,TH,86.92,overcast clouds,8.4509,98.5298,Sunimit Mansion
421,Isla Aguada,MX,83.61,clear sky,18.7833,-91.4667,Freedom Shores
423,Bacungan,PH,79.03,overcast clouds,9.9106,118.7022,Sumayang Property
425,Elizabeth City,US,84.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
428,Jalu,LY,78.66,clear sky,29.0331,21.5482,صاحبة الفخامة
432,Monywa,MM,79.7,clear sky,22.1167,95.1333,Monywa Hotel
435,Sibolga,ID,77.59,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
439,Lardos,GR,76.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
440,Praia Da Vitoria,PT,76.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
443,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
454,Kailua,US,75.74,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
457,Mul,IN,77.68,broken clouds,20.0667,79.6667,Taj Mahal
460,Antsohihy,MG,75.02,few clouds,-14.8796,47.9875,Hotel de Ville
462,Palu,ID,75.7,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
463,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
468,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
469,Jaque,PA,83.25,light rain,7.5175,-78.1703,Imbu Bua Lodge
471,Jagraon,IN,83.35,clear sky,30.7833,75.4833,Hotel Snehmohan Regency
472,Sinnamary,GF,85.82,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
473,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
476,Middle Island,US,78.26,clear sky,40.8843,-72.9373,Camp Wilderness (not an actual campground)
480,Morehead,US,75.31,broken clouds,37.2711,-87.1764,CCI Express Inn
481,San Javier,ES,87.39,clear sky,37.8063,-0.8374,Hotel Mar Menor
482,Miandrivazo,MG,82.63,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
490,Bridgeton,US,83.05,clear sky,39.4273,-75.2341,Star Liberty Inn Hotel
499,Nacogdoches,US,87.12,few clouds,31.6002,-94.6335,The Fredonia Hotel & Convention Center
503,Mumford,GH,79.74,broken clouds,5.2618,-0.759,Spanish Villa
506,Dawei,MM,76.71,broken clouds,14.0833,98.2,Hotel Dawei
507,Bubaque,GW,82.11,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
511,Kpandu,GH,80.8,light rain,6.9954,0.2931,Emo House
512,Carbonia,IT,77.95,scattered clouds,39.1672,8.5222,Lu 'Hotel
515,Yarmouth,US,76.15,broken clouds,41.7057,-70.2286,Blue Rock Resort
516,Belmonte,BR,84.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
520,Puerto Escondido,MX,86.04,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
521,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
523,Mossendjo,CG,76.66,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
528,Oyama,JP,75.58,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
531,Wilmington,US,83.95,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
536,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
537,Buchanan,LR,85.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
543,Russell,US,77.13,scattered clouds,32.3502,-85.1999,Macs
547,Gat,IL,77.68,scattered clouds,31.61,34.7642,OlusHome
551,Sorong,ID,76.55,overcast clouds,-0.8833,131.25,waigo splash hotel
